question_no,type,category,tags,stem,preamble,statement_a,statement_b,statement_c,statement_d,choice_1,choice_2,choice_3,choice_4,choice_5,correct,explanation,explanation_choices,explanation_correct,explanation_summary,explanation_point,explanation_mode
437,single,火災・消火・漏えい,PF-120;PF-006;第4類共通性質;液比重・蒸気比重;応用;重点,ガソリンが水に浮きやすいことと関係が深い性質はどれか。,,,,,,酸素を放出すること。,液比重が水より小さいこと。,蒸気比重が空気より大きいこと。,発火点が高いこと。,"指定数量が10,000 Lであること。",2,"ガソリンは液比重が水より小さいため、水に浮きやすい。

【試験ポイント】水に浮くかは液比重で考える。

【ひっかけ】蒸気比重と混同しない。

【選択肢ア】誤り。酸素放出性ではない。

【選択肢イ】正しい。液比重に関係する。

【選択肢ウ】誤り。蒸気の低所滞留に関係する。

【選択肢エ】誤り。浮沈とは直接別である。

【選択肢オ】誤り。ガソリンの指定数量は200 Lである。",1:誤り。酸素放出性ではない。;3:誤り。蒸気の低所滞留に関係する。;4:誤り。浮沈とは直接別である。;5:誤り。ガソリンの指定数量は200 Lである。,ガソリンは液比重が水より小さいため、水に浮きやすい。 正しい。液比重に関係する。,ガソリンは液比重が水より小さいため、水に浮きやすい。,水に浮くかは液比重で考える。 蒸気比重と混同しない。,
438,single,火災・消火・漏えい,PF-121;PF-008;火災予防;換気・火気管理;標準;重点,第4類危険物取扱場所で換気が不十分な場合に高まる危険はどれか。,,,,,,液体の完全不燃化,可燃性蒸気の滞留,指定数量の消滅,免状の失効,水溶性の消滅,2,"換気が不十分だと可燃性蒸気が滞留し、引火危険が高まる。

【試験ポイント】換気は可燃性蒸気の滞留防止。

【ひっかけ】低所滞留にも注意する。

【選択肢ア】誤り。不燃化しない。

【選択肢イ】正しい。可燃性蒸気が滞留しやすい。

【選択肢ウ】誤り。指定数量は消滅しない。

【選択肢エ】誤り。免状とは関係ない。

【選択肢オ】誤り。水溶性とは別である。",1:誤り。不燃化しない。;3:誤り。指定数量は消滅しない。;4:誤り。免状とは関係ない。;5:誤り。水溶性とは別である。,換気が不十分だと可燃性蒸気が滞留し、引火危険が高まる。 正しい。可燃性蒸気が滞留しやすい。,換気が不十分だと可燃性蒸気が滞留し、引火危険が高まる。,換気は可燃性蒸気の滞留防止。 低所滞留にも注意する。,
439,single,火災・消火・漏えい,PF-122;PF-011;消火方法;水による消火が不適切な場合;標準;重点,水より軽い非水溶性液体の火災に棒状注水すると危険な理由はどれか。,,,,,,燃えている液体を広げるおそれがあるため。,指定数量が減るため。,必ず火が消えるため。,蒸気比重がゼロになるため。,液体が不燃性になるため。,1,"水より軽い非水溶性液体に棒状注水すると、燃えている液体を広げ、火災を拡大するおそれがある。

【試験ポイント】非水溶性液体火災では注水方法に注意。

【ひっかけ】水をかければ常に安全ではない。

【選択肢ア】正しい。火災拡大のおそれがある。

【選択肢イ】誤り。指定数量は変わらない。

【選択肢ウ】誤り。必ず消えるとは限らない。

【選択肢エ】誤り。蒸気比重はゼロにならない。

【選択肢オ】誤り。不燃性にならない。",2:誤り。指定数量は変わらない。;3:誤り。必ず消えるとは限らない。;4:誤り。蒸気比重はゼロにならない。;5:誤り。不燃性にならない。,水より軽い非水溶性液体に棒状注水すると、燃えている液体を広げ、火災を拡大するおそれがある。 正しい。火災拡大のおそれがある。,水より軽い非水溶性液体に棒状注水すると、燃えている液体を広げ、火災を拡大するおそれがある。,非水溶性液体火災では注水方法に注意。 水をかければ常に安全ではない。,
440,single,火災・消火・漏えい,PF-123;PF-013;特殊引火物;特殊引火物の性質;標準;重点,特殊引火物の指定数量が小さい理由として、最も近い考え方はどれか。,,,,,,常温で固体だから。,不燃性だから。,引火危険が高いため。,水と激しく反応するから。,水に必ず沈むから。,3,"特殊引火物は引火危険が特に高いため、指定数量が50 Lと小さい。

【試験ポイント】特殊引火物は危険性が高く指定数量が小さい。

【ひっかけ】指定数量の大小と危険性を関連づける。

【選択肢ア】誤り。特殊引火物は常温で液体であり固体だからではない。

【選択肢イ】誤り。特殊引火物は引火性が高く不燃性ではない。

【選択肢ウ】正しい。危険性が高い。

【選択肢エ】誤り。指定数量が小さいのは引火危険ゆえで水との反応性が理由ではない。

【選択肢オ】誤り。多くは水に浮き必ず沈むわけではなく沈むことが理由ではない。",1:誤り。特殊引火物は常温で液体であり固体だからではない。;2:誤り。特殊引火物は引火性が高く不燃性ではない。;4:誤り。指定数量が小さいのは引火危険ゆえで水との反応性が理由ではない。;5:誤り。多くは水に浮き必ず沈むわけではなく沈むことが理由ではない。,特殊引火物は引火危険が特に高いため、指定数量が50 Lと小さい。 正しい。危険性が高い。,特殊引火物は引火危険が特に高いため、指定数量が50 Lと小さい。,特殊引火物は危険性が高く指定数量が小さい。 指定数量の大小と危険性を関連づける。,
441,single,火災・消火・漏えい,PF-124;PF-017;第一石油類;第一石油類の性質;応用;重点,第一石油類の非水溶性液体に該当する代表例はどれか。,,,,,,グリセリン,アセトン,ガソリン,エタノール,メタノール,3,"ガソリンは第一石油類の非水溶性液体である。

【試験ポイント】ガソリンは第一石油類・非水溶性。

【ひっかけ】アセトンとの指定数量差に注意。

【選択肢ア】誤り。グリセリンは第三石油類である。

【選択肢イ】誤り。アセトンは第一石油類の水溶性液体である。

【選択肢ウ】正しい。ガソリンである。

【選択肢エ】誤り。エタノールはアルコール類である。

【選択肢オ】誤り。メタノールはアルコール類である。",1:誤り。グリセリンは第三石油類である。;2:誤り。アセトンは第一石油類の水溶性液体である。;4:誤り。エタノールはアルコール類である。;5:誤り。メタノールはアルコール類である。,ガソリンは第一石油類の非水溶性液体である。 正しい。ガソリンである。,ガソリンは第一石油類の非水溶性液体である。,ガソリンは第一石油類・非水溶性。 アセトンとの指定数量差に注意。,
442,single,火災・消火・漏えい,PF-125;PF-019;第一石油類;ベンゼン・トルエン;応用;重点,ベンゼンとトルエンの分類について、正しい説明はどれか。,,,,,,どちらも動植物油類である。,ベンゼンは第二石油類、トルエンは第一石油類である。,どちらも第二石油類である。,どちらも第一石油類である。,どちらもアルコール類である。,4,"ベンゼンとトルエンはいずれも第一石油類として整理される。

【試験ポイント】ベンゼン・トルエンは第一石油類。

【ひっかけ】キシレンは第二石油類として区別する。

【選択肢ア】誤り。動植物油類ではない。

【選択肢イ】誤り。ベンゼンもトルエンも第一石油類である。

【選択肢ウ】誤り。第二石油類ではない。

【選択肢エ】正しい。どちらも第一石油類である。

【選択肢オ】誤り。アルコール類ではない。",1:誤り。動植物油類ではない。;2:誤り。ベンゼンもトルエンも第一石油類である。;3:誤り。第二石油類ではない。;5:誤り。アルコール類ではない。,ベンゼンとトルエンはいずれも第一石油類として整理される。 正しい。どちらも第一石油類である。,ベンゼンとトルエンはいずれも第一石油類として整理される。,ベンゼン・トルエンは第一石油類。 キシレンは第二石油類として区別する。,
443,single,火災・消火・漏えい,PF-126;PF-021;第一石油類;酢酸エチルなどの第一石油類;応用;網羅,酢酸エチルと酢酸の分類差として、正しいものはどれか。,,,,,,どちらも第6類である。,どちらも動植物油類である。,酢酸エチルは第二石油類、酢酸は第一石油類である。,どちらも特殊引火物である。,酢酸エチルは第一石油類、酢酸は第二石油類である。,5,"酢酸エチルは第一石油類、酢酸は第二石油類として整理する。

【試験ポイント】酢酸エチルは第一、酢酸は第二。

【ひっかけ】名称が似た物質を混同しない。

【選択肢ア】誤り。第6類ではない。

【選択肢イ】誤り。動植物油類ではない。

【選択肢ウ】誤り。逆である。

【選択肢エ】誤り。特殊引火物ではない。

【選択肢オ】正しい。分類差として正しい。",1:誤り。第6類ではない。;2:誤り。動植物油類ではない。;3:誤り。逆である。;4:誤り。特殊引火物ではない。,酢酸エチルは第一石油類、酢酸は第二石油類として整理する。 正しい。分類差として正しい。,酢酸エチルは第一石油類、酢酸は第二石油類として整理する。,酢酸エチルは第一、酢酸は第二。 名称が似た物質を混同しない。,
444,single,火災・消火・漏えい,PF-127;PF-023;アルコール類;メタノール;応用;重点,メタノールの火災危険について、正しいものはどれか。,,,,,,第三石油類である。,第6類危険物である。,水に溶けるが、引火危険がある。,動植物油類である。,水に溶けるため、絶対に燃えない。,3,"メタノールは水に溶けるアルコール類だが、引火危険がある。

【試験ポイント】メタノールは水溶性でも引火危険あり。

【ひっかけ】水溶性＝安全ではない。

【選択肢ア】誤り。第三石油類ではない。

【選択肢イ】誤り。第6類ではない。

【選択肢ウ】正しい。水溶性でも引火危険がある。

【選択肢エ】誤り。動植物油類ではない。

【選択肢オ】誤り。燃えないわけではない。",1:誤り。第三石油類ではない。;2:誤り。第6類ではない。;4:誤り。動植物油類ではない。;5:誤り。燃えないわけではない。,メタノールは水に溶けるアルコール類だが、引火危険がある。 正しい。水溶性でも引火危険がある。,メタノールは水に溶けるアルコール類だが、引火危険がある。,メタノールは水溶性でも引火危険あり。 水溶性＝安全ではない。,
445,single,火災・消火・漏えい,PF-128;PF-024;アルコール類;エタノール;応用;重点,エタノール火災の消火で、泡消火を考える際に注意すべきものはどれか。,,,,,,下水への放流,火気で燃え尽きさせること,酸素の大量供給,容器を開放すること,耐アルコール泡などの適用,5,"エタノールは水溶性液体であり、泡消火では耐アルコール泡などの適用を考慮する。

【試験ポイント】アルコール火災では耐アルコール泡を意識する。

【ひっかけ】通常泡の適用に注意。

【選択肢ア】誤り。下水へ流してはならない。

【選択肢イ】誤り。火気は危険である。

【選択肢ウ】誤り。酸素供給は燃焼を助ける。

【選択肢エ】誤り。蒸気発生を助長する。

【選択肢オ】正しい。水溶性液体火災の注意点である。",1:誤り。下水へ流してはならない。;2:誤り。火気は危険である。;3:誤り。酸素供給は燃焼を助ける。;4:誤り。蒸気発生を助長する。,エタノールは水溶性液体であり、泡消火では耐アルコール泡などの適用を考慮する。 正しい。水溶性液体火災の注意点である。,エタノールは水溶性液体であり、泡消火では耐アルコール泡などの適用を考慮する。,アルコール火災では耐アルコール泡を意識する。 通常泡の適用に注意。,
446,single,火災・消火・漏えい,PF-129;PF-029;第二石油類;キシレン・酢酸などの第二石油類;応用;網羅,キシレンとトルエンの分類の違いとして、正しいものはどれか。,,,,,,キシレンは第二石油類、トルエンは第一石油類である。,どちらも動植物油類である。,どちらも特殊引火物である。,どちらもアルコール類である。,キシレンは第一石油類、トルエンは第二石油類である。,1,"キシレンは第二石油類、トルエンは第一石油類として整理される。

【試験ポイント】キシレンは第二、トルエンは第一。

【ひっかけ】芳香族化合物でも分類が異なる。

【選択肢ア】正しい。キシレンは第二石油類、トルエンは第一石油類である。

【選択肢イ】誤り。動植物油類ではない。

【選択肢ウ】誤り。特殊引火物ではない。

【選択肢エ】誤り。アルコール類ではない。

【選択肢オ】誤り。分類が逆である。",2:誤り。動植物油類ではない。;3:誤り。特殊引火物ではない。;4:誤り。アルコール類ではない。;5:誤り。分類が逆である。,キシレンは第二石油類、トルエンは第一石油類として整理される。 正しい。キシレンは第二石油類、トルエンは第一石油類である。,キシレンは第二石油類、トルエンは第一石油類として整理される。,キシレンは第二、トルエンは第一。 芳香族化合物でも分類が異なる。,
447,single,火災・消火・漏えい,PF-130;PF-032;第三石油類;クレオソート油・アニリン・エチレングリコール;応用;網羅,エチレングリコールとグリセリンに共通する分類はどれか。,,,,,,第三石油類,特殊引火物,第二石油類,動植物油類,第一石油類,1,"エチレングリコールとグリセリンはいずれも第三石油類として整理される。

【試験ポイント】エチレングリコール・グリセリンは第三石油類。

【ひっかけ】名称からアルコール類と早合点しない。

【選択肢ア】正しい。どちらも第三石油類である。

【選択肢イ】誤り。特殊引火物ではない。

【選択肢ウ】誤り。第二石油類ではない。

【選択肢エ】誤り。動植物油類ではない。

【選択肢オ】誤り。第一石油類ではない。",2:誤り。特殊引火物ではない。;3:誤り。第二石油類ではない。;4:誤り。動植物油類ではない。;5:誤り。第一石油類ではない。,エチレングリコールとグリセリンはいずれも第三石油類として整理される。 正しい。どちらも第三石油類である。,エチレングリコールとグリセリンはいずれも第三石油類として整理される。,エチレングリコール・グリセリンは第三石油類。 名称からアルコール類と早合点しない。,
448,single,火災・消火・漏えい,PF-131;PF-033;第四石油類;第四石油類・潤滑油類;応用;網羅,潤滑油の指定数量として、正しいものはどれか。ただし、潤滑油は第四石油類として扱う。,,,,,,"6,000 L","1,000 L",50 L,200 L,400 L,1,"潤滑油は第四石油類であり、指定数量は6,000 Lである。

【試験ポイント】潤滑油は第四石油類・6,000 L。

【ひっかけ】動植物油類10,000 Lと区別する。

【選択肢ア】正しい。6,000 Lである。

【選択肢イ】誤り。1,000 Lは第二石油類の非水溶性液体である。

【選択肢ウ】誤り。50 Lは特殊引火物である。

【選択肢エ】誤り。200 Lは第一石油類の非水溶性液体である。

【選択肢オ】誤り。400 Lはアルコール類などである。","2:誤り。1,000 Lは第二石油類の非水溶性液体である。;3:誤り。50 Lは特殊引火物である。;4:誤り。200 Lは第一石油類の非水溶性液体である。;5:誤り。400 Lはアルコール類などである。","潤滑油は第四石油類であり、指定数量は6,000 Lである。 正しい。6,000 Lである。","潤滑油は第四石油類であり、指定数量は6,000 Lである。","潤滑油は第四石油類・6,000 L。 動植物油類10,000 Lと区別する。",
449,single,火災・消火・漏えい,PF-132;PF-035;動植物油類;乾性油・自然発火;標準;重点,乾性油の自然発火を防ぐ管理として、適切なものはどれか。,,,,,,火気の近くで乾燥させる。,油を含んだ布を大量に積み重ねて放置しない。,下水に流して処理する。,袋に詰めて蓄熱させる。,可燃性蒸気の中で喫煙する。,2,"乾性油を含んだ布は酸化熱が蓄積して自然発火するおそれがあるため、大量に積み重ねて放置しない。

【試験ポイント】油を含んだ布の蓄熱に注意。

【ひっかけ】自然発火は火気なしでも起こり得る。

【選択肢ア】誤り。火気の近くは危険である。

【選択肢イ】正しい。蓄熱を防ぐ管理である。

【選択肢ウ】誤り。下水へ流してはならない。

【選択肢エ】誤り。蓄熱のおそれがある。

【選択肢オ】誤り。喫煙は危険である。",1:誤り。火気の近くは危険である。;3:誤り。下水へ流してはならない。;4:誤り。蓄熱のおそれがある。;5:誤り。喫煙は危険である。,乾性油を含んだ布は酸化熱が蓄積して自然発火するおそれがあるため、大量に積み重ねて放置しない。 正しい。蓄熱を防ぐ管理である。,乾性油を含んだ布は酸化熱が蓄積して自然発火するおそれがあるため、大量に積み重ねて放置しない。,油を含んだ布の蓄熱に注意。 自然発火は火気なしでも起こり得る。,
450,single,火災・消火・漏えい,PF-133;PF-046;総合問題;性消分野の複合問題;応用;総合,第4類危険物の総合理解として、誤っているものはどれか。,,,,,,物質ごとに分類と指定数量を整理する必要がある。,可燃性蒸気への引火に注意する。,水溶性の第4類危険物は、すべて不燃性である。,第4類危険物は引火性液体である。,火気管理と換気が重要である。,3,"水溶性の第4類危険物でも引火危険があるものがある。水溶性は不燃性を意味しない。

【試験ポイント】水溶性＝不燃性ではない。

【ひっかけ】誤っているものを選ぶ問題では問い方に注意。

【選択肢ア】正しい。分類と指定数量の整理が必要である。

【選択肢イ】正しい。可燃性蒸気に注意する。

【選択肢ウ】誤り。水溶性でも引火危険がある。

【選択肢エ】正しい。第4類は引火性液体である。

【選択肢オ】正しい。火気管理と換気は重要である。",1:正しい。分類と指定数量の整理が必要である。;2:正しい。可燃性蒸気に注意する。;4:正しい。第4類は引火性液体である。;5:正しい。火気管理と換気は重要である。,水溶性の第4類危険物でも引火危険があるものがある。水溶性は不燃性を意味しない。 誤り。水溶性でも引火危険がある。,水溶性の第4類危険物でも引火危険があるものがある。,水溶性＝不燃性ではない。 誤っているものを選ぶ問題では問い方に注意。,
451,single,法令・制度,L-211;LAW-004;指定数量;指定数量の意味;応用;重点,指定数量倍数の考え方として、正しいものはどれか。,,,,,,指定数量を貯蔵量で割って求める。,指定数量に貯蔵量を掛けて求める。,貯蔵・取扱数量を指定数量で割って求める。,指定数量から貯蔵量を引いて求める。,貯蔵量を保有空地の面積で割って求める。,3,"指定数量倍数は、危険物の数量をその危険物の指定数量で割って求める。

【試験ポイント】指定数量倍数＝数量÷指定数量。

【ひっかけ】分母・分子を逆にしない。

【選択肢ア】誤り。倍数は貯蔵量を指定数量で割るもので割る順序が逆である。

【選択肢イ】誤り。倍数は割り算で求めるもので掛け算ではない。

【選択肢ウ】正しい。数量÷指定数量である。

【選択肢エ】誤り。倍数は除算で求めるもので引き算ではない。

【選択肢オ】誤り。倍数の計算に保有空地の面積は用いない。",1:誤り。倍数は貯蔵量を指定数量で割るもので割る順序が逆である。;2:誤り。倍数は割り算で求めるもので掛け算ではない。;4:誤り。倍数は除算で求めるもので引き算ではない。;5:誤り。倍数の計算に保有空地の面積は用いない。,指定数量倍数は、危険物の数量をその危険物の指定数量で割って求める。 正しい。数量÷指定数量である。,指定数量倍数は、危険物の数量をその危険物の指定数量で割って求める。,指定数量倍数＝数量÷指定数量。 分母・分子を逆にしない。,
452,single,法令・制度,L-212;LAW-005;指定数量;第4類危険物の指定数量;応用;重点,第2石油類の非水溶性液体と水溶性液体の指定数量の組合せとして、正しいものはどれか。,,,,,,"非水溶性1,000 L、水溶性2,000 L",非水溶性200 L、水溶性400 L,非水溶性50 L、水溶性200 L,"非水溶性2,000 L、水溶性4,000 L","非水溶性6,000 L、水溶性10,000 L",1,"第2石油類は、非水溶性液体が1,000 L、水溶性液体が2,000 Lである。

【試験ポイント】第2石油類は非水溶性1,000 L、水溶性2,000 L。

【ひっかけ】第一・第三石油類の数値と混同しない。

【選択肢ア】正しい。第2石油類の指定数量である。

【選択肢イ】誤り。第1石油類の数値である。

【選択肢ウ】誤り。特殊引火物などの数値である。

【選択肢エ】誤り。第3石油類の数値である。

【選択肢オ】誤り。第4石油類・動植物油類の数値である。",2:誤り。第1石油類の数値である。;3:誤り。特殊引火物などの数値である。;4:誤り。第3石油類の数値である。;5:誤り。第4石油類・動植物油類の数値である。,"第2石油類は、非水溶性液体が1,000 L、水溶性液体が2,000 Lである。 正しい。第2石油類の指定数量である。","第2石油類は、非水溶性液体が1,000 L、水溶性液体が2,000 Lである。","第2石油類は非水溶性1,000 L、水溶性2,000 L。 第一・第三石油類の数値と混同しない。",
453,single,法令・制度,L-213;LAW-007;指定数量;指定数量の倍数計算;難関;重点,"動植物油類5,000 Lを貯蔵する場合、指定数量の倍数はどれか。ただし、動植物油類の指定数量は10,000 Lとする。",,,,,,5.0倍,1.0倍,2.0倍,0.25倍,0.5倍,5,"5,000÷10,000＝0.5倍である。

【試験ポイント】動植物油類の指定数量は10,000 L。

【ひっかけ】大きい指定数量でも倍数計算は同じ。

【選択肢ア】誤り。計算結果ではない。

【選択肢イ】誤り。10,000 Lなら1.0倍である。

【選択肢ウ】誤り。20,000 Lなら2.0倍である。

【選択肢エ】誤り。2,500 Lなら0.25倍である。

【選択肢オ】正しい。0.5倍である。","1:誤り。計算結果ではない。;2:誤り。10,000 Lなら1.0倍である。;3:誤り。20,000 Lなら2.0倍である。;4:誤り。2,500 Lなら0.25倍である。","5,000÷10,000＝0.5倍である。 正しい。0.5倍である。","5,000÷10,000＝0.5倍である。","動植物油類の指定数量は10,000 L。 大きい指定数量でも倍数計算は同じ。",
454,single,法令・制度,L-214;LAW-008;指定数量;複数危険物を扱う場合の倍数合算;難関;重点,"ガソリン80 L、軽油400 L、潤滑油1,200 Lの指定数量倍数の合計はどれか。ただし、指定数量はガソリン200 L、軽油1,000 L、潤滑油6,000 Lとする。",,,,,,1.5倍,0.8倍,1.2倍,1.0倍,2.0倍,4,"ガソリン80÷200＝0.4、軽油400÷1,000＝0.4、潤滑油1,200÷6,000＝0.2、合計1.0倍である。

【試験ポイント】複数危険物は倍数合算。

【ひっかけ】品名ごとの指定数量を使う。

【選択肢ア】誤り。計算結果ではない。

【選択肢イ】誤り。潤滑油分を落としている。

【選択肢ウ】誤り。計算結果ではない。

【選択肢エ】正しい。0.4＋0.4＋0.2＝1.0倍である。

【選択肢オ】誤り。計算結果ではない。",1:誤り。計算結果ではない。;2:誤り。潤滑油分を落としている。;3:誤り。計算結果ではない。;5:誤り。計算結果ではない。,"ガソリン80÷200＝0.4、軽油400÷1,000＝0.4、潤滑油1,200÷6,000＝0.2、合計1.0倍である。 正しい。0.4＋0.4＋0.2＝1.0倍である。","ガソリン80÷200＝0.4、軽油400÷1,000＝0.4、潤滑油1,200÷6,000＝0.2、合計1.0倍である。",複数危険物は倍数合算。 品名ごとの指定数量を使う。,
455,single,法令・制度,L-215;LAW-014;許可;製造所等の設置許可;標準;重点,製造所等の設置許可について、施設側の論点として正しいものはどれか。,,,,,,危険物取扱者の人数だけが問題となる。,貯蔵する危険物の販売先だけが問題となる。,敷地の購入価格だけが問題となる。,周辺住民の同意だけが問題となる。,位置・構造・設備などが基準に適合するかが問題となる。,5,"設置許可では、施設の位置・構造・設備などが法令基準に適合するかが問題となる。

【試験ポイント】設置許可は施設側の制度。

【ひっかけ】人の資格制度と混同しない。

【選択肢ア】誤り。設置許可は位置構造設備の基準適合が中心で人数だけではない。

【選択肢イ】誤り。危険物の販売先は設置許可の審査対象ではない。

【選択肢ウ】誤り。敷地の購入価格は設置許可の判断基準ではない。

【選択肢エ】誤り。設置許可は技術基準の適合審査であり住民同意だけではない。

【選択肢オ】正しい。施設側の基準が問題となる。",1:誤り。設置許可は位置構造設備の基準適合が中心で人数だけではない。;2:誤り。危険物の販売先は設置許可の審査対象ではない。;3:誤り。敷地の購入価格は設置許可の判断基準ではない。;4:誤り。設置許可は技術基準の適合審査であり住民同意だけではない。,設置許可では、施設の位置・構造・設備などが法令基準に適合するかが問題となる。 正しい。施設側の基準が問題となる。,設置許可では、施設の位置・構造・設備などが法令基準に適合するかが問題となる。,設置許可は施設側の制度。 人の資格制度と混同しない。,
456,single,法令・制度,L-216;LAW-018;仮貯蔵・仮取扱い;仮貯蔵・仮取扱い;応用;重点,仮貯蔵・仮取扱いについて、誤っているものはどれか。,,,,,,第4類危険物でも対象になり得る。,一時的であれば、指定数量以上でも常に承認不要である。,火災予防上の措置が重要である。,指定数量以上の危険物を一時的に扱う場合に問題となる。,承認が必要となる場合がある。,2,"一時的であっても、指定数量以上の危険物を仮に貯蔵・取り扱う場合には承認が必要となる場合がある。

【試験ポイント】仮貯蔵・仮取扱いは一時的でも承認が論点。

【ひっかけ】一時的＝自由ではない。

【選択肢ア】正しい。第4類でも対象になり得る。

【選択肢イ】誤り。一時的でも承認が必要となる場合がある。

【選択肢ウ】正しい。安全措置が重要である。

【選択肢エ】正しい。指定数量以上の場合に問題となる。

【選択肢オ】正しい。承認が必要となる場合がある。",1:正しい。第4類でも対象になり得る。;3:正しい。安全措置が重要である。;4:正しい。指定数量以上の場合に問題となる。;5:正しい。承認が必要となる場合がある。,一時的であっても、指定数量以上の危険物を仮に貯蔵・取り扱う場合には承認が必要となる場合がある。 誤り。一時的でも承認が必要となる場合がある。,一時的であっても、指定数量以上の危険物を仮に貯蔵・取り扱う場合には承認が必要となる場合がある。,仮貯蔵・仮取扱いは一時的でも承認が論点。 一時的＝自由ではない。,
457,single,法令・制度,L-217;LAW-020;届出;品名・数量・指定数量倍数の変更届出;応用;重点,危険物の品名、数量、指定数量倍数を変更する場合の扱いとして、正しいものはどれか。,,,,,,常に何の手続きも不要である。,届出が必要となる場合がある。,危険物取扱者免状が自動で失効する。,危険物の類が必ず第6類に変わる。,指定数量が必ずゼロになる。,2,"製造所等で扱う危険物の品名、数量、指定数量倍数を変更する場合、届出が必要となる場合がある。

【試験ポイント】品名・数量・倍数変更は届出論点。

【ひっかけ】施設の管理情報変更を軽視しない。

【選択肢ア】誤り。手続きが必要な場合がある。

【選択肢イ】正しい。届出が論点である。

【選択肢ウ】誤り。免状失効とは限らない。

【選択肢エ】誤り。類が自動で変わるわけではない。

【選択肢オ】誤り。指定数量はゼロにならない。",1:誤り。手続きが必要な場合がある。;3:誤り。免状失効とは限らない。;4:誤り。類が自動で変わるわけではない。;5:誤り。指定数量はゼロにならない。,製造所等で扱う危険物の品名、数量、指定数量倍数を変更する場合、届出が必要となる場合がある。 正しい。届出が論点である。,製造所等で扱う危険物の品名、数量、指定数量倍数を変更する場合、届出が必要となる場合がある。,品名・数量・倍数変更は届出論点。 施設の管理情報変更を軽視しない。,
458,single,法令・制度,L-218;LAW-023;危険物取扱者;甲種・乙種・丙種の違い;標準;重点,乙種危険物取扱者の説明として、正しいものはどれか。,,,,,,免状に指定された類の危険物を取り扱える。,危険物を一切取り扱えない。,すべての類の危険物を無条件で取り扱える。,消火設備の名称である。,施設の設置許可そのものである。,1,"乙種危険物取扱者は、免状に指定された類の危険物を取り扱える。

【試験ポイント】乙種は指定類、甲種は全類。

【ひっかけ】乙4は第4類に限る。

【選択肢ア】正しい。乙種は指定された類が対象である。

【選択肢イ】誤り。危険物を扱える資格である。

【選択肢ウ】誤り。全類は甲種である。

【選択肢エ】誤り。消火設備ではない。

【選択肢オ】誤り。施設許可ではない。",2:誤り。危険物を扱える資格である。;3:誤り。全類は甲種である。;4:誤り。消火設備ではない。;5:誤り。施設許可ではない。,乙種危険物取扱者は、免状に指定された類の危険物を取り扱える。 正しい。乙種は指定された類が対象である。,乙種危険物取扱者は、免状に指定された類の危険物を取り扱える。,乙種は指定類、甲種は全類。 乙4は第4類に限る。,
459,single,法令・制度,L-219;LAW-027;危険物保安監督者;選任が必要な施設・資格要件;標準;重点,危険物保安監督者について、誤っているものはどれか。,,,,,,危険物の取扱作業の保安監督に関係する。,選任・解任の届出が問題となる場合がある。,危険物取扱者制度と関係する。,すべての一般住宅で必ず選任する。,一定の製造所等で選任が必要となる場合がある。,4,"危険物保安監督者は、すべての一般住宅で必ず選任するものではない。

【試験ポイント】保安監督者は一定施設で選任。

【ひっかけ】一般家庭の制度と誤解しない。

【選択肢ア】正しい。保安監督に関係する。

【選択肢イ】正しい。届出が問題となる場合がある。

【選択肢ウ】正しい。資格制度と関係する。

【選択肢エ】誤り。一般住宅すべてで必須ではない。

【選択肢オ】正しい。一定施設で選任が問題となる。",1:正しい。保安監督に関係する。;2:正しい。届出が問題となる場合がある。;3:正しい。資格制度と関係する。;5:正しい。一定施設で選任が問題となる。,危険物保安監督者は、すべての一般住宅で必ず選任するものではない。 誤り。一般住宅すべてで必須ではない。,危険物保安監督者は、すべての一般住宅で必ず選任するものではない。,保安監督者は一定施設で選任。 一般家庭の制度と誤解しない。,
460,single,法令・制度,L-220;LAW-032;定期点検;定期点検が必要な施設;標準;重点,定期点検と最も関係が深いものはどれか。,,,,,,危険物の取扱者の人事評価,危険物の出荷数量の集計,取扱者の免状の書換え,消防職員の人事異動,施設の維持管理状態の確認,5,"定期点検は、危険物施設の維持管理状態を確認するために行う。

【試験ポイント】定期点検は維持管理確認。

【ひっかけ】完成検査との違いを整理する。

【選択肢ア】誤り。定期点検は施設の維持管理確認で人事評価とは無関係である。

【選択肢イ】誤り。出荷数量の集計は定期点検の目的ではない。

【選択肢ウ】誤り。免状の書換えは定期点検とは別個の手続である。

【選択肢エ】誤り。消防職員の人事異動は定期点検と関係しない。

【選択肢オ】正しい。定期点検の目的である。",1:誤り。定期点検は施設の維持管理確認で人事評価とは無関係である。;2:誤り。出荷数量の集計は定期点検の目的ではない。;3:誤り。免状の書換えは定期点検とは別個の手続である。;4:誤り。消防職員の人事異動は定期点検と関係しない。,定期点検は、危険物施設の維持管理状態を確認するために行う。 正しい。定期点検の目的である。,定期点検は、危険物施設の維持管理状態を確認するために行う。,定期点検は維持管理確認。 完成検査との違いを整理する。,
